id,slug,name,website,google_place_id,instagram,neighborhood
90a0c801-37f4-4983-b147-57e81776f333,roasted-duck-by-pa-ord-restaurant-4-iconic-thai-town-new-eater-38-addition,"Roasted Duck by Pa Ord,restaurant,4-iconic,Thai Town - new Eater 38 addition",,ChIJharH4mq_woAR3f7EfNbthQ8,,
bed05625-221c-425d-908d-d2df59668320,burritos-la-palma-el-monte,Burritos La Palma,http://burritoslapalma.com/,ChIJxztAvPDZwoARUKqI04RO2uE,,El Monte
d03b1eb8-e32a-48d6-a036-5a067bef94f0,the-beverly-hills-hotel-hotel-hotel-iconic-dorchester-collection-the-pink-palace,"The Beverly Hills Hotel,hotel,hotel-iconic,Dorchester Collection - the Pink Palace",,ChIJXVs5lQa8woARSWRNqYGVUNo,,
a48e89b7-4a2a-4366-baf8-3910a2f93bce,grá,Grá,http://grá.com/,ChIJ35H4d-fHwoARK-W7Ikwq5VU,,Echo Park
9af072fc-6085-488d-9980-29a8e9e39656,1642,1642,https://www.1642bar.com/,ChIJtfpJdgbHwoARMPA3laMKsAI,,
be21533f-8d31-431d-82f8-3ad7a0ffd738,n-soto-restaurant-4-iconic-japanese-highly-rated,"N/Soto,restaurant,4-iconic,Japanese - highly rated",,ChIJr7tV88a5woARABa1uEr3Mao,,
8a61e41b-f083-450c-8145-1979a8b6d2f1,konbi-restaurant-4-iconic-cult-japanese-bakery,"Konbi,restaurant,4-iconic,Cult Japanese bakery",,,,
8e76fabf-7e8a-47eb-b2b7-fb1bdc593a82,bub-and-grandma-s-restaurant-4-iconic-pizza-cult-following,"Bub & Grandma's,restaurant,4-iconic,Pizza cult following",,,,
b2434829-e48a-419e-bad4-2cd8cfa73385,barabba,Barabba,http://www.barabba.dk/,ChIJ2W1BWxhTUkYRdPRopYGyxSc,null,null
1df4f9bb-b905-4add-b7ed-941fd433ef9e,the-hollywood-roosevelt-hotel-hotel-iconic-historic-hollywood-landmark-old-schoo,"The Hollywood Roosevelt,hotel,hotel-iconic,Historic Hollywood landmark - old-school glam meets modern",,ChIJazD_QyG_woARwKuHsRqY0nU,,
d433e8e0-b1c3-466d-bedd-3704dbb021a5,lucia-restaurant-3-hot2025-caribbean-fine-dining-fairfax-art-deco-space,"Lucia,restaurant,3-hot2025,Caribbean fine dining - Fairfax - Art Deco space",,,,
65fa4e60-d067-4e86-8482-16fc5725381f,men-and-beasts-|-modern-chinese-restaurant-and-tea-lounge-los-angeles-ca,"Men & Beasts | Modern Chinese Restaurant & Tea Lounge - Los Angeles, CA",,ChIJFycRzrHHwoARwBAa5sAAhOg,,Echo Park
place_tacos-1986_1771305000875,tacos-1986,Tacos 1986,http://www.tacos1986.com/,ChIJc1UAXfrHwoARkMC2iYyz8R8,,DTLA
4c6e5c4f-03a8-4f4d-b478-6878b8e0de0e,comedor-restaurant-3-hot2025-ray-garcia-comeback-westside,"Comedor,restaurant,3-hot2025,Ray Garcia comeback - Westside",,,,
81513430-c4f3-4241-b0ed-51d2c634f8e1,alta-adams-restaurant-4-iconic-keith-corbin-south-la,Alta Adams,http://altaadams.com/,ChIJ5XZfNW65woARIhG9hN44XQ4,,South La
